Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (%),Channel 2 THD (IEEE) (%)
396,0.12595773,0.082425356,0.009224047,0.009387171
409,0.12681222,0.08319354,0.004931326,0.004870632
421,0.12733722,0.08369851,0.0067272964,0.006806705
434,0.12771916,0.08438754,0.009042227,0.009431159
448,0.12763143,0.08469558,0.007354701,0.0072557856
461,0.12743974,0.08483052,0.009895941,0.009637222
476,0.12701154,0.08465505,0.00854031,0.0077076447
490,0.12662005,0.08422589,0.0086302385,0.008365827
505,0.12542391,0.0833087,0.008571931,0.008667934
521,0.12449479,0.082796335,0.008321414,0.00951567
537,0.12295604,0.08161712,0.009160184,0.008622811
553,0.12162876,0.08030605,0.010668531,0.009177935
570,0.11967111,0.07906461,0.009531285,0.010357007
588,0.117830515,0.077380896,0.009871249,0.0099994475
606,0.11536193,0.07534909,0.01016586,0.0101992525
624,0.1129024,0.07327962,0.007365299,0.00905826
643,0.110070944,0.070832014,0.0079072,0.006677874
663,0.10697293,0.06799531,0.010842204,0.011712505
683,0.103714466,0.06490564,0.010413169,0.0077437377
704,0.09992719,0.061729193,0.010898854,0.01108852
726,0.096132755,0.058412075,0.0069732573,0.0065421863
748,0.09186721,0.0543468,0.009239444,0.009533987
770,0.08751178,0.050330877,0.010759624,0.011936488
794,0.08270478,0.046063185,0.0107743265,0.009942629
818,0.07760668,0.041384697,0.009564284,0.010565501
843,0.07201147,0.036405563,0.0071004075,0.0061678
869,0.06602931,0.031365156,0.009625803,0.01179786
895,0.060241222,0.02592516,0.012624797,0.010905131
922,0.053748846,0.019887209,0.012447465,0.013378286
950,0.047043562,0.013739824,0.011898452,0.011448415
979,0.03954768,0.007008791,0.013175236,0.011649044
1009,0.032045364,0.0,0.01296014,0.013017331
1039,0.024117231,-0.0068957806,0.009311893,0.009858976
1071,0.015515804,-0.014912605,0.01322344,0.013641233
1103,0.006850004,-0.022538424,0.010661983,0.013182471
1137,-0.0022649765,-0.031121254,0.013062808,0.011033233
1171,-0.011864901,-0.040123224,0.008844612,0.008373693
1207,-0.022038221,-0.049104452,0.007301256,0.006006564
1243,-0.032397985,-0.058832407,0.012818024,0.012764803
1281,-0.043595076,-0.068989515,0.009153199,0.009624569
1319,-0.05467224,-0.07919741,0.011805531,0.01279236
1359,-0.066486835,-0.09011364,0.008970716,0.0073302174
1400,-0.07863855,-0.10148859,0.012326598,0.0116978325
1443,-0.09170294,-0.11341429,0.01221859,0.012719404
1486,-0.10475755,-0.12542653,0.011729567,0.012784051
1531,-0.1182251,-0.13824463,0.010552237,0.0095669795
1577,-0.13221717,-0.15084004,0.011896991,0.012140478
1625,-0.14749646,-0.16451621,0.015138291,0.014542411
1674,-0.16213179,-0.17870235,0.011527838,0.009941039
1725,-0.17762256,-0.19300199,0.014042214,0.010455814
1777,-0.19370556,-0.20773697,0.011318733,0.010503331
1830,-0.20980906,-0.22283053,0.012809113,0.011905198
1886,-0.2268951,-0.23896003,0.007906757,0.0080361515
1942,-0.24425578,-0.25515056,0.013860181,0.01544332
2001,-0.2616055,-0.27183127,0.013718726,0.013151468
2061,-0.28002882,-0.2890911,0.010283961,0.009605886
2124,-0.29895234,-0.30663228,0.010817571,0.01084182
2188,-0.317775,-0.32468677,0.015116115,0.014482144
2253,-0.33729815,-0.34324145,0.010947444,0.010281843
2321,-0.35743904,-0.36245108,0.015561559,0.0140788965
2391,-0.3783002,-0.38201523,0.014490486,0.014094617
2463,-0.3991835,-0.40212893,0.013951574,0.012508433
2537,-0.42069745,-0.42310262,0.013263601,0.011878296
2614,-0.44273162,-0.4440744,0.014358837,0.013543665
2692,-0.4648316,-0.46546292,0.013676361,0.014157285
2774,-0.48787904,-0.4878676,0.014438221,0.0146776745
2857,-0.51106143,-0.51037574,0.013596197,0.0125212185
2943,-0.5346186,-0.533478,0.013450965,0.013493163
3032,-0.5586331,-0.55705476,0.01389153,0.01347186
3123,-0.58275056,-0.5809252,0.013254232,0.012138934
3217,-0.6072395,-0.60492635,0.016007861,0.015516065
3313,-0.63150334,-0.6291549,0.014702414,0.015253455
3413,-0.65613914,-0.653878,0.01024418,0.011085328
3516,-0.6808293,-0.6785157,0.015355781,0.01388393
3621,-0.7050679,-0.702945,0.0069415285,0.0058193053
3730,-0.72916913,-0.72748494,0.010563496,0.009358884
3842,-0.75325227,-0.752105,0.011566043,0.0107976375
3958,-0.7772043,-0.7765157,0.013925029,0.013095143
4077,-0.8007834,-0.8005526,0.009723279,0.0093624145
4199,-0.8238404,-0.8244512,0.009862362,0.008915659
4326,-0.8468802,-0.8483536,0.013320179,0.012684465
4456,-0.8695581,-0.87222266,0.0114168255,0.010608514
4589,-0.89200234,-0.8959892,0.013796467,0.011307384
4727,-0.914891,-0.92000127,0.013968403,0.014044135
4869,-0.93762326,-0.9446204,0.013413615,0.013041571
5016,-0.96135163,-0.9696276,0.014894321,0.01276134
5166,-0.9847095,-0.9951713,0.011956391,0.011280454
5321,-1.0093081,-1.0215161,0.015226187,0.012856604
5481,-1.034692,-1.0487626,0.014960882,0.012153149
5646,-1.0600903,-1.0764935,0.012450996,0.011151882
5815,-1.0857203,-1.1045916,0.0120390365,0.010311847
5990,-1.1119068,-1.1329072,0.013447191,0.011847373
6170,-1.1375725,-1.1611617,0.015751855,0.014034688
6355,-1.1628845,-1.1891887,0.010174691,0.008635797
6546,-1.1874068,-1.2164958,0.013807744,0.011830588
6742,-1.2108366,-1.2430222,0.008773925,0.007858254
6945,-1.2343566,-1.2692411,0.010031314,0.010369523
7153,-1.2572081,-1.2952378,0.010805756,0.008675734
7368,-1.2805226,-1.3218052,0.01075246,0.009544531
7589,-1.3043025,-1.3488157,0.011352719,0.009485549
7816,-1.3288391,-1.3767931,0.0054110806,0.0037732993
8051,-1.3543127,-1.4055879,0.010301664,0.008598925
8293,-1.3804495,-1.4350045,0.009928619,0.010099337
8541,-1.4062026,-1.4643481,0.0071441405,0.006548791
8798,-1.4312689,-1.4927113,0.009014546,0.0071414905
9062,-1.4546278,-1.5196884,0.008331725,0.008006226
9334,-1.4762871,-1.5448496,0.011882297,0.011184842
9614,-1.4967744,-1.5689952,0.007540827,0.006131755
9902,-1.5171831,-1.5931518,0.004570688,0.0035712167
10199,-1.5385273,-1.617893,0.0068677966,0.007896371
10505,-1.561537,-1.6445448,0.0055476604,0.0044587706
10820,-1.5851185,-1.6716478,0.005466251,0.004505187
11145,-1.6084449,-1.6984413,0.0047386168,0.004024894
11479,-1.6296127,-1.7229211,0.0028505577,0.0028393809
11823,-1.6477063,-1.7447169,0.0028505577,0.0028393809
12178,-1.6641576,-1.764579,0.0028505577,0.0028393809
12543,-1.6807101,-1.784301,0.0028505577,0.0028393809
12919,-1.6997235,-1.806711,0.0028505577,0.0028393809
13307,-1.7205899,-1.8307478,0.0028505577,0.0028393809
13706,-1.7409937,-1.8541257,0.0028505577,0.0028393809
14117,-1.7574322,-1.8737624,0.0028505577,0.0028393809
14540,-1.7696178,-1.8886888,0.0028505577,0.0028393809
14976,-1.780083,-1.9022124,0.0028505577,0.0028393809
15425,-1.792969,-1.917908,0.0028505577,0.0028393809
15887,-1.8084824,-1.9360731,0.0028505577,0.0028393809
16364,-1.8222048,-1.9524372,0.0028505577,0.0028393809
16855,-1.8308065,-1.9636023,0.0028505577,0.0028393809
17360,-1.8360636,-1.9710686,0.0028505577,0.0028393809
17880,-1.8426907,-1.9804952,0.0028505577,0.0028393809
18416,-1.8547032,-1.9945195,0.0028505577,0.0028393809
18969,-1.8874743,-2.0296257,0.0028505577,0.0028393809
19537,-2.0006773,-2.1448529,0.0028505577,0.0028393809
20123,-2.310674,-2.4568188,0.0028505577,0.0028393809
20726,-2.9608424,-3.1088793,0.0028505577,0.0028393809
21348,-4.12471,-4.2745037,0.0028505577,0.0028393809
22000,-6.1791945,-6.330677,0.0028505577,0.0028393809
