Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS)
34,-13.835403355783415,-13.597233734233518
35,-14.252969436329236,-14.372259585524416
35,-13.72175745179704,-13.426938402521698
36,-13.628582800196318,-13.375512920901881
36,-13.104941394931481,-12.813701178888559
37,-13.82120926928174,-13.739307594345822
37,-13.671307753557903,-13.606931036755844
38,-13.591081429223747,-12.946214514729709
38,-13.049182000657408,-12.628425081354157
39,-13.423441828266233,-12.840542623216445
39,-13.041096549226706,-12.86890848537969
40,-13.520732613926876,-13.115177003876274
40,-13.310497161398507,-12.92707004067656
41,-12.42650212931712,-12.253553789859053
41,-12.953242175205448,-12.43186543519654
42,-12.848832187076153,-12.630483213272546
42,-12.636645159460008,-12.341826414003355
43,-12.764892440712485,-12.404522426893474
44,-12.324668405553608,-12.060954493840748
44,-12.590019482297839,-12.506549043964673
45,-12.226807355670585,-12.075888596556782
45,-12.072200981264293,-12.249628960495995
46,-12.069829478400576,-11.862225622747536
47,-12.094398408594335,-11.750157706685192
47,-12.177815609838417,-12.140671573773266
48,-12.088588711240968,-11.758253223654817
48,-11.92781029894464,-11.833434649128526
49,-11.711349667498288,-11.187542377158584
50,-11.427391994262988,-11.309361070846995
50,-11.701259531088203,-11.495944805106644
51,-11.526162121042757,-11.317344679966586
52,-11.175205056264604,-11.034210643014182
52,-11.18544678624004,-11.151718919006205
53,-11.16137981683748,-11.1248591310676
54,-10.808572981826535,-10.578508037819004
54,-11.120202188990197,-10.735171738901668
55,-10.680801717591718,-10.408137088884017
56,-10.440318529792146,-10.286691120127513
56,-10.476169822865876,-10.141968562165902
57,-10.440996790001803,-10.296700982813894
58,-10.344560906294683,-10.13420298777813
58,-10.631808076541445,-10.279188765221084
59,-10.091677813353028,-9.901785124078648
60,-9.92940790801205,-9.739628165908984
61,-9.842222360768679,-9.804002325668014
61,-9.834338200577596,-9.703997037757722
62,-9.637716491607604,-9.475880055395761
63,-9.816593641461166,-9.647521185829467
64,-9.846291088168803,-9.435857194351831
64,-9.421869627638491,-9.401313507656196
65,-9.382889753730607,-9.22370117608637
66,-9.217332402130046,-9.02225703553293
67,-9.051526262105556,-9.079720516851156
67,-9.211531655745302,-8.989625113284037
68,-9.08388631956,-8.995944098809572
69,-9.008738263930633,-8.810891167194198
70,-8.932620771566638,-8.687915048040876
71,-8.787922074552318,-8.587810397319268
72,-8.813210993679347,-8.756926581334392
72,-8.792267862965494,-8.633133672817435
73,-8.46245544797174,-8.475864297076582
74,-8.51380276696286,-8.277061039506767
75,-8.399292102317192,-8.283794226668197
76,-8.361888084930422,-8.327874668086865
77,-8.165344423631991,-8.17366113501451
78,-8.07296477597808,-8.164776211491569
79,-8.11255324521561,-8.083120337674101
80,-8.019330169213239,-8.105539751393474
80,-7.995200225383909,-7.992332228918043
81,-7.963558091597404,-8.096679795082698
82,-7.9557809041163505,-8.091019504165393
83,-7.902083459488912,-7.959359672780144
84,-7.83373680928254,-8.119823675800488
85,-7.788603641783807,-7.994221225880638
86,-7.6461876260977615,-7.806314437555768
87,-7.51607391711036,-8.109601431231118
88,-7.697018726756495,-7.883094561986708
89,-7.674669310084942,-8.01034417784433
90,-7.447646627996329,-7.921654364847752
91,-7.5883086921348575,-7.876437727063381
92,-7.405061301272317,-7.8659092344985435
93,-7.4786700201911795,-7.835860901632783
94,-7.361026203935959,-7.842766451570062
96,-7.3082074942131054,-7.834972139662019
97,-7.187423148597366,-7.731368124636267
98,-7.322177777516904,-7.789572598998491
99,-7.298956717334692,-7.854256845168342
100,-7.175918932487077,-7.73430597291579
101,-7.200600031469049,-7.791082633974467
102,-7.1533133228526165,-7.859523293919205
103,-7.142708288031185,-7.721064781559781
105,-7.239802681272087,-7.893361273515156
106,-7.157124412582062,-7.862893622047297
107,-7.188262391001016,-7.851796209018341
108,-7.167008226916968,-7.932031892336445
109,-7.063871790012881,-7.887136582736693
111,-7.154031997033568,-7.9341915107247285
112,-7.047652757662087,-7.931405851816907
113,-7.037276648772748,-7.977491352035527
114,-6.999381689964794,-8.003788747685887
116,-6.96306104775101,-7.957337687285984
117,-6.895812316837878,-7.916802766554126
118,-6.93056389565678,-7.994581590214041
119,-6.945549791962899,-7.991813656705341
121,-6.8314106076362275,-7.935168657181938
122,-6.7179441577917824,-7.875809260172927
123,-6.7922801595287705,-7.822139984509233
125,-6.834242992567672,-8.137379603111517
126,-6.78476792030431,-7.989349167903887
128,-6.769184520635106,-8.149578092098674
129,-6.7487861934648254,-8.128963596481041
130,-6.726922140580827,-8.120016753069903
132,-6.680242442968014,-8.185504164222737
133,-6.63508262406406,-8.201550519261003
135,-6.687736371211178,-8.294399549567666
136,-6.642340428825809,-8.291507507337363
138,-6.668659798911106,-8.327975982152884
139,-6.588481499002745,-8.292641151295483
141,-6.6046889621100515,-8.382586694653499
142,-6.623417187158834,-8.339417841240055
144,-6.581662110844027,-8.326436389968938
145,-6.588183543650251,-8.370413406497986
147,-6.617238450529319,-8.536909706478587
149,-6.590597824024007,-8.51235928504755
150,-6.518470517002383,-8.554573823393993
152,-6.623748669513018,-8.708249428675218
153,-6.5424536071098895,-8.663713914192185
155,-6.531397844287488,-8.712754559763637
157,-6.545396673643475,-8.779678315676309
158,-6.449911046556194,-8.716969078071644
160,-6.483330260789421,-8.743148726635079
162,-6.469008151176981,-8.837430497578195
164,-6.4871570808978145,-8.880569360616926
165,-6.456365253404703,-8.839657145535634
167,-6.459370143624005,-8.916569223660526
169,-6.470611407119547,-8.891180114937177
171,-6.471885373426895,-8.894175318531667
173,-6.482179776803543,-8.924327666452642
174,-6.4763713719438964,-8.892251658713635
176,-6.594222982736801,-9.018385882728134
178,-6.59972934773729,-9.015394500534741
180,-6.567628203979686,-9.047792671887398
182,-6.721219629735215,-9.16313370561627
184,-6.6997213631209735,-9.210054992888876
186,-6.443004934434759,-9.404760587611525
188,-6.7682858902172764,-9.312857818861078
190,-6.812446992694108,-9.326851232547538
192,-6.906052162690498,-9.334078190002005
194,-6.9189454330809514,-9.293537723133147
196,-7.0461235977312935,-9.324385600657974
198,-7.1017100825199275,-9.25140558961044
200,-7.234703847864095,-9.187006008472485
202,-7.372762709335516,-9.111891328175053
204,-7.500862616070195,-8.932738782432645
207,-7.769636556466912,-8.932103627285356
209,-7.776572049066628,-8.862861738828796
211,-7.841628838542361,-8.903950368051964
213,-7.853440761922469,-8.930677361860623
215,-7.889596284259172,-9.050482864744291
218,-7.868783202835095,-9.114471011966485
220,-7.932284443344427,-9.229654606229433
222,-7.88081937226263,-9.173175941772426
225,-7.814880918765963,-9.250903923445557
227,-7.832048110063242,-9.26412803197118
229,-7.845830928494321,-9.286110785318995
232,-7.876777020532211,-9.340442435589997
234,-7.865976531699632,-9.372313196548289
237,-7.991786680435334,-9.477994837987671
239,-8.016757684948741,-9.518370074654
242,-8.110017305722257,-9.651480381329447
244,-8.131852319640691,-9.657995941486474
247,-8.187693993736486,-9.789851071349274
249,-8.313763688671335,-9.8356208109396
252,-8.208611249111167,-9.846448801890462
255,-8.34735435031981,-9.986516765406838
257,-8.258507567454997,-9.799497517778386
260,-8.383644250132443,-10.08930303679916
263,-8.406879280418165,-10.349891062962493
265,-8.498234842774325,-10.72171534543608
268,-8.481533751374462,-11.191516062852122
271,-8.396257899155968,-11.745831876364507
274,-8.276596684367314,-12.16133585477809
277,-8.241776131710607,-12.456274200327327
280,-8.397655665285574,-12.696551974853628
282,-8.422876618819418,-12.838528076803575
285,-8.60352481070906,-12.993021619356432
288,-8.592318864197976,-12.859344434666736
291,-8.60228261933924,-12.751115939563624
294,-8.703480620019418,-12.811788078741634
297,-8.726217423712944,-12.85768396789704
300,-8.887199029790088,-13.176800833334026
304,-8.85778474655214,-13.433608394173808
307,-8.843370628640221,-13.74581655138991
310,-8.755618713184257,-14.028253812904795
313,-8.520020468286722,-13.984208577287285
316,-8.43701975407228,-14.104674801634305
320,-8.297748240545415,-14.106438970646392
323,-8.147117883874914,-13.82655191142229
326,-8.161141946149693,-13.856548478122543
330,-8.122686772430322,-13.869991494294721
333,-7.985028917604838,-13.611792276040381
336,-7.9853454093166345,-13.604830357054352
340,-7.8915208949802444,-13.443971757664672
343,-7.775546753059649,-13.368159547500357
347,-7.800064598491955,-13.573300997665738
350,-7.639777719871303,-13.302956944889223
354,-7.607398171083622,-13.474648104521327
358,-7.508969322949623,-13.34037924968281
361,-7.406160722927199,-13.137350821653227
365,-7.387707236933425,-12.994465907450754
369,-7.679164496958554,-13.38025331670777
373,-7.547646935540827,-12.87204497239267
376,-7.496582220523903,-12.59813068513076
380,-7.394002109172819,-12.284177298734177
384,-7.531388501859203,-12.39850574065987
388,-7.481622241590321,-12.088808285882285
392,-7.565132716194077,-12.207234409261913
396,-7.650692411724057,-12.108677760373114
400,-7.71717797364815,-11.871512896226497
404,-7.659435098266814,-11.583156270686027
408,-7.695572984991413,-11.473620528104734
413,-8.024162824040443,-11.612174711317456
417,-8.03925930066176,-11.42964331140695
421,-8.202698957390455,-11.494479454499013
425,-8.371235025395967,-11.383821873067054
430,-8.40355433780889,-11.072929233022576
434,-8.4912328348386,-10.910127163579537
439,-8.595509653274595,-10.838843608694463
443,-8.691061769485474,-10.795298115568327
448,-8.586485194084714,-10.530301119826339
452,-8.819111618170313,-10.731501987515346
457,-8.883287244787534,-10.550754321039742
461,-8.896882837492013,-10.325896399829537
466,-8.742382544039115,-10.047842071127716
471,-8.79127364596762,-10.077856822157946
476,-8.617233077308581,-9.80078326609229
480,-8.640308295912638,-9.764073555578824
485,-8.405261732861709,-9.344141133671924
490,-8.142341922917607,-8.987792587341795
495,-7.843748116165825,-8.787107066180925
500,-7.782373487309075,-8.770422752627473
505,-7.9864175919761085,-9.038271863937917
511,-7.859409440254991,-8.802637168010966
516,-7.998595520536687,-8.785505787149892
521,-7.751234777199388,-8.600015570899489
526,-7.663859229281426,-8.38518907412478
532,-7.593556140440489,-8.296600051907811
537,-7.336135727158,-7.910979723748687
542,-7.340694528590367,-7.749928850598776
548,-7.47703453451256,-7.635652012434418
553,-8.019044314164566,-7.894571239715061
559,-7.428390199521454,-7.045208482895186
565,-7.406069932384069,-7.010945634524665
570,-7.799706394291638,-7.209981098902302
576,-7.4995591892076,-6.783187632677661
582,-6.923483759581762,-6.242809023615356
588,-7.1619263501791135,-6.378556853735175
594,-7.33855769536696,-6.485225155679343
600,-7.386956718355192,-6.522463962624398
606,-7.219486163478647,-6.160818761229363
612,-7.45343460121766,-6.415087255183943
618,-7.164451649366184,-6.048568695961206
625,-7.264453702050494,-6.140018815405677
631,-7.017434258565574,-5.929994850154413
637,-7.418965540216812,-6.216438971003546
644,-6.914134584066192,-5.771851728817987
650,-6.36831041634232,-5.254694035525718
657,-6.7539614245016235,-5.687588466458495
663,-6.298742719553227,-5.270201403727176
670,-6.171637378614639,-5.098321530968322
677,-6.167971433698382,-5.086847801662342
684,-5.925972392916554,-4.794428457837659
690,-5.833919366258362,-4.673355086491691
697,-6.171826794612771,-4.931806259798497
704,-5.6375535027412145,-4.420732068185778
712,-5.690250820466128,-4.455957276559076
719,-5.664949967850985,-4.503678127202168
726,-5.781217991846637,-4.583300003522874
733,-5.581418674478561,-4.37542931587415
741,-5.5094544179913445,-4.349756172865277
748,-5.479807671747865,-4.33577211629132
756,-5.592799219260817,-4.453616440641339
763,-5.537880075703734,-4.379676308779995
771,-5.2328942703548496,-4.08625892801895
779,-5.145123519547658,-4.091020528557024
787,-4.971921167120589,-3.969877186519481
794,-5.024342037360741,-4.0074588580494765
802,-4.961237621221381,-4.071330650981597
811,-4.962242812558676,-4.041620046843363
819,-4.757452077778771,-3.9183389265484774
827,-4.705824691895648,-3.8779438930715227
835,-4.3201439454795345,-3.544145341225116
844,-4.582221174300374,-3.9117055314536415
852,-4.073244488293032,-3.418903063231415
861,-4.001228219383501,-3.3294572511886766
869,-4.101723826297844,-3.4180822995238653
878,-3.6797126347649627,-3.030446373235849
887,-4.154404196540881,-3.4641129771733272
896,-4.151676584514243,-3.4227943688838725
905,-3.3261995515169804,-2.46573938171114
914,-3.37005650939423,-2.614421718112606
923,-3.326926660722224,-2.553683263275113
932,-3.1266473006628406,-2.4574910227339224
942,-2.609006836583049,-1.790665087085781
951,-2.9584505243832275,-2.2135631280993078
961,-2.596493241745412,-1.8256709154404565
970,-2.5133139964662785,-1.6799489251996782
980,-2.1123675084054145,-1.3049272414771753
990,-1.8827502974018255,-1.0651120694771183
1000,-1.7857876892376687,-1.0097304974837602
1010,-1.6106790614743787,-0.9409393327086111
1020,-1.6611795721400604,-0.9779402269145372
1030,-1.3325293864647652,-0.6862809586855274
1040,-1.425402448529903,-0.8104022917950804
1051,-1.8644003824509792,-1.2676910208975603
1061,-1.5961002623523086,-0.9472132059656282
1072,-1.4281933924149754,-0.7710102280977456
1083,-1.5442853660508522,-0.8444055579624159
1093,-1.4367841653428215,-0.7902741457365199
1104,-2.085756259704434,-1.4655090315849737
1115,-1.7515511297007968,-1.1553649067416476
1127,-1.8384807900242297,-1.2604130327006633
1138,-1.9614902037368758,-1.3911991455839843
1149,-1.8192556993754732,-1.1172991586904129
1161,-1.824246214518931,-1.0824783359878971
1172,-2.072657277219733,-1.3112562172370517
1184,-2.217026872617362,-1.3478497248311196
1196,-2.4523615930564127,-1.5524692730297307
1208,-2.6581167319371026,-1.7154186835767238
1220,-2.793812350135001,-1.9493933031756523
1232,-2.8913694510834365,-1.9672050719376983
1244,-2.651111104872422,-1.7996749136091719
1257,-2.9240466662856317,-2.1475242076182237
1269,-2.825412905635959,-2.0428751492274237
1282,-3.474137866178669,-2.685888766264828
1295,-3.5373553751262055,-2.7497761647475514
1308,-3.58417665832231,-2.837411071878673
1321,-3.6901811249944085,-2.8592211318495213
1334,-3.705613052389353,-2.9052923569077223
1347,-3.6410998688928,-2.7370798685725806
1361,-3.793755498668588,-2.8810951304876937
1374,-3.721776461317525,-2.750457104678226
1388,-3.924408889119217,-2.920297146716914
1402,-3.8780624095026983,-2.883231899092552
1416,-4.18906475239856,-3.0489831351204497
1430,-4.262055646276874,-2.9719539733233997
1444,-4.081676403291889,-2.7442330711654943
1459,-4.183503778741681,-2.8354501235816105
1473,-4.359902102601916,-2.991899277293502
1488,-4.5083876186262675,-3.074956093989078
1503,-4.679766597429873,-3.226188291650418
1518,-5.172107500135139,-3.641066254977657
1533,-4.8436643833474715,-3.282273246798594
1548,-5.208163964062257,-3.569676283235273
1564,-5.587061693579853,-3.922516777065889
1579,-5.8910280066144605,-4.167729295767019
1595,-6.173016827953587,-4.520066673299857
1611,-6.377040403130236,-4.64784750942896
1627,-6.660541114627131,-4.957983064087882
1643,-6.631756378228497,-4.920882346023307
1659,-6.790266561510437,-5.111066562863334
1676,-6.915264491214019,-5.245160532301616
1693,-6.955273103749681,-5.337938580127128
1709,-7.031407563469402,-5.386493042508908
1726,-6.948578312724829,-5.151009264954398
1744,-7.225905808956975,-5.291432525091524
1761,-7.464260281211841,-5.41834926529244
1779,-7.597758550345381,-5.248891206079319
1796,-7.680629755884196,-5.159957937840657
1814,-7.874625027381805,-5.100055929830662
1832,-8.05356340510624,-5.003295117762844
1850,-8.579098988723123,-5.232115557484635
1869,-8.985169237009229,-5.3082728074100825
1887,-9.018104480217643,-5.152489054993824
1906,-9.106136324363453,-5.04705916295992
1925,-9.397901443444342,-5.059175849651245
1944,-9.748939577329294,-5.018091996157226
1964,-9.853101903082424,-4.789840553651901
1983,-10.16503998186779,-4.780293037816213
2003,-10.036039092812315,-4.419214979069357
2023,-10.212927383035487,-4.319893661733925
2043,-10.33464129784218,-4.343229493855796
2063,-10.38997323852937,-4.305323874158217
2084,-10.17770047439125,-4.3562206443775615
2105,-9.782533062610574,-4.3751103530692195
2125,-9.376478813838125,-4.441217635983065
2147,-9.222722559697628,-4.678129903454808
2168,-8.997245330863555,-4.92542589653157
2189,-8.793156032094037,-5.053416097092045
2211,-8.638209982067997,-5.097611486884061
2233,-8.706063236981974,-5.042066581282318
2255,-8.787618622326745,-4.899322821016364
2278,-9.073458185242208,-4.904653875187373
2300,-9.36228350944222,-4.7427674508254025
2323,-9.609280607667008,-4.39556228905372
2346,-10.028395573920909,-4.386796588727307
2370,-10.074683898908647,-4.205247584686743
2393,-10.178047601973264,-4.127749198178231
2417,-10.244364072607658,-4.036046110161802
2441,-10.38148967265665,-4.0838926521600225
2465,-10.241125306245033,-4.092225425816634
2490,-10.188301600487128,-4.083963829750749
2515,-10.058886164786697,-4.0566697422344635
2539,-9.798147698882177,-4.2605556110428235
2565,-9.558253092970988,-4.355867301686692
2590,-9.324279895692419,-4.410566237453365
2616,-8.965142532739817,-4.582752252023429
2642,-8.713910117543362,-4.739614477496664
2668,-8.486876247218268,-4.765082632795265
2695,-8.301134338032666,-5.1116083171962625
2721,-8.083204185326329,-5.133395102158195
2748,-7.923999554213944,-5.199076077475139
2776,-7.850746729790233,-5.49466579584214
2803,-7.698755841505426,-5.640599690847322
2831,-7.583345199902249,-5.681661081450434
2859,-7.442060381111267,-5.474166188573745
2887,-7.312107645935457,-5.174667519504924
2916,-7.230851186329486,-4.9727325624427205
2945,-7.194511087521798,-5.098446783694444
2974,-7.338889647170019,-5.282702771806475
3004,-7.682697625931729,-5.786111382702023
3034,-7.689996616252886,-6.229046650241235
3064,-7.586348618853817,-6.3554904766363745
3094,-7.612338900773521,-6.559044436419283
3125,-7.688816444586687,-6.5455173970718885
3156,-7.574693498305864,-6.248460481478412
3187,-7.3840139922403,-5.7546378015199675
3219,-7.222879993586579,-5.239360195504814
3251,-7.057126476027912,-5.031123519537653
3283,-7.043737744134644,-4.819804318159067
3315,-7.006404195343604,-4.630371531155848
3348,-7.0895489928332065,-4.507401179565559
3382,-6.9949282314752015,-4.265256196042657
3415,-6.969688943404753,-4.151004308557468
3449,-6.996716035872373,-4.043305884632849
3483,-7.040620706825242,-4.012781926919303
3518,-7.090040162124231,-3.9415239244880524
3553,-7.072452622890912,-3.94367242484061
3588,-7.146657793735576,-3.9130275907486745
3623,-7.185843990235432,-3.833769413834073
3659,-7.1759063498341344,-3.7591612390366205
3696,-7.132085339624359,-3.5281437987157833
3732,-6.904870926105888,-3.3194611629232167
3769,-6.564298917741285,-2.967979548991458
3807,-6.401226920527796,-2.7470831430886147
3844,-6.343632073434348,-2.566203639920822
3882,-6.274849202913204,-2.2422308132943822
3921,-6.382352151632636,-2.0748595987505443
3960,-6.362260062684806,-1.8037591082009232
3999,-6.299626013245428,-1.6167061528012763
4039,-6.340360044801782,-1.3710739605326037
4079,-6.103442866410864,-1.0360399818256916
4119,-5.941231816548752,-0.8347535904752643
4160,-5.766305054084972,-0.6857277609496109
4201,-5.5928957673038,-0.571706426543404
4243,-5.425938793148257,-0.5951915320054457
4285,-5.3842506047151115,-0.7958948016917198
4327,-5.395478766190431,-0.9373347133098306
4370,-5.5369345413887725,-1.2382498334464955
4413,-5.7709308081626585,-1.6225530400523862
4457,-5.886970606617082,-1.9733242159575184
4501,-6.201057613382863,-2.5572959577852306
4546,-6.426302464704035,-3.1966615728631016
4591,-6.727080398734321,-3.935689451634067
4636,-6.988552216412691,-4.9411433832018705
4682,-7.448017551677362,-5.982855975007704
4729,-7.956391091003651,-7.1865195974588385
4775,-8.572614884376806,-8.740062889701866
4823,-9.388695447489033,-10.674562140448556
4871,-10.33958569369012,-13.525410111202175
4919,-11.37158707080078,-19.03779980333298
4968,-12.228965626569844,-34.60781746720556
5017,-12.182429396777222,-15.805016266992927
5066,-10.573200436071273,-9.980529190420595
5117,-8.235100722747413,-6.6847771013108055
5167,-6.527249570949293,-4.967837791010437
5218,-5.282715807548476,-4.063814985858437
5270,-4.547474330206596,-3.6530340493947993
5322,-3.7054506028370557,-3.4421086232555194
5375,-3.176138780818887,-3.7711865084430993
5428,-3.676766856682219,-4.921046615819124
5482,-3.7755956868312435,-4.980133269014763
5536,-3.518395388823217,-4.542966401352894
5591,-3.438170209170311,-4.553762546677431
5646,-3.281770225057894,-4.619530611774577
5702,-2.7691982670295,-4.464171125008024
5759,-2.0667848591820484,-4.36579785200451
5816,-1.4468559432445396,-4.281812928099386
5873,-0.9551485732164746,-4.1664838310845855
5931,-0.6437556212324882,-4.091666315908435
5990,-0.3936250480078449,-4.037373922512872
6049,-0.22876561256960493,-4.055115370721065
6109,-0.1437125752276689,-4.020451596417606
6170,-0.146572741238284,-4.147924991490761
6231,-0.13547190846576207,-4.270028486419937
6293,-0.1235238549981581,-4.321792363540178
6355,-0.12713680723470233,-4.444236935410501
6418,-0.1783412205486865,-4.67053026854523
6481,-0.14090160780604855,-4.738410066696735
6545,-0.1664328911971289,-4.897409800809077
6610,-0.10729517410816314,-4.935375343778793
6676,-0.1448112501040537,-5.049413988368697
6742,-0.11803801927478474,-5.063719845356799
6808,-0.17726774561530156,-5.249189463081331
6876,-0.21248037045152834,-5.378503655127867
6944,-0.17190369128919158,-5.368498255132751
7012,-0.038827180219959345,-5.254448509179985
7082,0.0,-5.278195512107098
7152,-0.02523275810684744,-5.444418120751541
7223,-0.10214614983478576,-5.639651784939877
7294,-0.1546510526789966,-5.836829503505575
7366,-0.3077217150969762,-6.151238552588415
7439,-0.4200254498002689,-6.4410242444660515
7513,-0.5418514558112602,-6.774900071804362
7587,-0.6364356996286027,-6.99005012171474
7662,-0.7492215033355478,-7.187028388815525
7738,-0.9060536968133324,-7.37060908887633
7815,-1.1537255400269668,-7.700317632305309
7892,-1.3578111919398275,-8.081927910832084
7970,-1.5709861100700682,-8.409071905804131
8049,-1.7790071459856627,-8.85230845747928
8128,-1.983055446281032,-9.32129232211303
8209,-2.0817617299488713,-9.668953740198267
8290,-2.0371954843925693,-9.967142356557213
8372,-2.1290564355437613,-10.370869780504192
8455,-2.3083850160616493,-10.662968198891674
8538,-2.5978263681788007,-11.244599085559353
8623,-3.0281984175537193,-12.14968675618938
8708,-3.5367175496468306,-13.125371802008862
8794,-4.016242947144965,-13.841709913527785
8881,-4.468499953126935,-14.289840183553634
8969,-4.63855520025519,-14.042650204926604
9058,-4.740280929113203,-13.625233190698912
9147,-4.8161241650290645,-13.506233756431142
9238,-4.7624240995841,-13.568552863217763
9329,-4.77829613551083,-13.795377633845392
9421,-4.909437526368576,-14.204835667219294
9515,-5.2033825231554705,-14.735662023590288
9609,-5.59876577563003,-15.184150670736328
9704,-5.850117870200121,-15.353147327018489
9800,-5.841201771344712,-15.384323126721325
9897,-5.944230760470566,-15.621610877267996
9995,-6.170148234549883,-15.915062630199527
10093,-6.466832682929256,-16.27063697933677
10193,-6.830635597995199,-16.64180561839131
10294,-7.227069781791981,-17.053373822157354
10396,-7.717435969974209,-17.387102858943685
10499,-8.26675858197652,-17.857817682604185
10602,-8.694970343470514,-18.3731539720565
10707,-8.989258925512944,-18.915359116873383
10813,-9.105358055990658,-19.53023189448043
10920,-9.11311040848158,-20.08672712811392
11028,-9.180930412449817,-20.711957804183392
11137,-9.4329040948201,-21.29109684898053
11247,-9.84055550083817,-21.76109268945011
11358,-10.33834224224764,-22.223486072474593
11471,-11.031559065223894,-22.99122691130762
11584,-11.659449051381161,-23.76826711080293
11699,-11.99206983114504,-23.478942349222407
11814,-12.098533492337365,-22.535960330390267
11931,-12.101882678278598,-22.1115591705223
12049,-12.185349205118174,-22.206517441850664
12168,-12.21795756111572,-22.23308623423332
12288,-12.332198304238522,-22.29019523562131
12410,-12.546356817655434,-22.337492729023445
12533,-13.095918589953568,-21.869139230200382
12656,-13.55229623770772,-21.57235257857844
12782,-13.813024064846415,-21.689234720297726
12908,-13.974348674393367,-22.07220389141547
13036,-14.301331052077812,-23.047785145060942
13164,-14.700710052205428,-24.08275977147023
13295,-15.19339666021394,-25.13352576014025
13426,-15.647373802372519,-26.257584971504315
13559,-16.30520080897893,-27.116895961588988
13693,-17.13082069911667,-27.401539090430475
13828,-17.981495352179813,-27.02257384960859
13965,-18.753621777730153,-26.76689553271339
14103,-19.407784720819613,-26.88310230448335
14242,-20.11633233349886,-27.35151329288108
14383,-20.802693681015683,-28.038393275343168
14525,-21.60817998202736,-28.788439462569904
14669,-22.735294416133513,-29.513297739958332
14814,-23.831612644478696,-30.350914037858907
14960,-25.060705980089004,-31.473484907110766
15108,-26.534393640029002,-32.380992753623616
15257,-28.324600537873025,-32.70011204056136
15408,-29.48354025359589,-32.56837793735378
15560,-29.757850844438593,-33.531772355580514
15714,-29.326965168804946,-35.372294382912756
15870,-28.487880032328448,-37.16457971754643
16026,-27.758399797219816,-38.683351506988195
16185,-27.280995319661088,-39.966434381261955
16345,-27.176273855922524,-41.81679015144858
16506,-27.436426933630926,-44.251471179778214
16669,-27.375074541274714,-46.09362813950739
16834,-27.48955725300742,-54.33671857875211
17001,-27.700058259717785,-50.375671989415814
17169,-28.20675344468505,-42.466500361986796
17338,-29.01959279731811,-39.030457421146856
17510,-29.407963639385436,-37.286220548662286
