Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (dB),Channel 2 THD (IEEE) (dB)
1396,-0.9829635620136727,-1.4763889306347657,-100.0,-100.0
1438,-1.0950822827265618,-1.522410388500976,-100.0,-100.0
1482,-1.4360656735673842,-1.81616973475586,-100.0,-100.0
1527,-2.1158418653105464,-2.478764530009766,-100.0,-100.0
1573,-2.7565402987578125,-3.2469348948046886,-100.0,-100.0
1621,-3.126837730039064,-3.730879787402344,-100.0,-100.0
1670,-3.038906097500977,-3.619102482739258,-100.0,-100.0
1720,-2.7997674940429675,-3.268212321171873,-100.0,-100.0
1772,-2.594075200771485,-2.9628629687109367,-100.0,-100.0
1825,-2.5581340823486336,-2.76364708404785,-100.0,-100.0
1881,-2.516971592343751,-2.5668430350292972,-100.0,-100.0
1937,-2.5383510590869136,-2.35095596064453,-100.0,-100.0
1996,-2.676136016118164,-2.0808372545361316,-100.0,-100.0
2056,-3.125476836157226,-1.940698624101561,-100.0,-100.0
2118,-3.667400356582032,-2.1033496743652336,-100.0,-100.0
2182,-3.8050432161718746,-2.587344172841796,-100.0,-100.0
2248,-3.80615997008789,-3.047933573867187,-100.0,-100.0
2316,-3.829061510302733,-3.084508899570313,-100.0,-100.0
2385,-3.935235980351564,-3.008251200244139,-100.0,-100.0
2457,-4.271944995058593,-2.896821019101562,-100.0,-100.0
2531,-4.63136673203125,-2.721467981591797,-100.0,-100.0
2608,-5.343276979067383,-2.666576388823241,-100.0,-100.0
2686,-6.408658031054689,-2.821833611357423,-100.0,-100.0
2767,-7.8588123449462906,-3.2753887195166023,-100.0,-100.0
2850,-9.752981183256836,-3.8952331583984368,-100.0,-100.0
2936,-12.537292482490233,-5.979833631494142,-87.21567,-96.566574
3025,-14.675489428105468,-8.331457137646485,-74.90408,-98.49908
3116,-12.015850080200195,-10.311277361401366,-73.93605,-93.23059
3210,-9.714550971386718,-11.990818976757811,-74.32855,-83.45938
3306,-8.159432383007811,-13.957982059619141,-74.23229,-78.62935
3406,-7.3104152696630855,-13.708625766137697,-72.059875,-73.03389
3508,-6.829690935502931,-12.891258251586915,-71.31773,-72.42837
3614,-6.121071811533202,-12.728592891479494,-68.33505,-68.77273
3722,-3.7222375834912107,-11.314299581250001,-62.609715,-60.997177
3834,-2.7305974749023427,-10.024357799326172,-62.868065,-59.68153
3950,-2.385643009311522,-10.29405975480957,-60.861008,-58.490788
4068,-1.592473035009764,-10.270642257080077,-57.900513,-55.82823
4191,-0.5408258364990246,-8.462298392465819,-55.544468,-53.898197
4317,0.18038084006347788,-5.997311587343749,-54.275974,-53.737713
4446,0.5708847001855482,-4.977870961059569,-53.021736,-53.771416
4580,0.7851123843994152,-4.467718141699219,-52.711216,-54.26163
4718,0.3247213392578132,-4.601824766113282,-52.543976,-54.714832
4860,-0.6443347955078131,-4.116554262382813,-53.208023,-55.91558
5006,-1.9822673762939438,0.4570750904052723,-53.94339,-57.341637
5156,-0.48821641467285204,4.388750037084961,-55.03454,-58.985626
5311,1.714358332138671,4.339433703186035,-56.125153,-60.457783
5470,1.316870693222656,3.1753158521362312,-57.615982,-61.96848
5635,1.1084451214843742,2.830225006774903,-59.133545,-63.603516
5804,1.8955307479736323,1.9857044307861322,-60.541306,-65.32548
5978,2.277988441137696,1.3793926024414063,-62.279682,-67.317085
6158,2.950935408862305,1.4977626434570315,-64.039314,-69.497856
6343,3.377138096777344,1.4633483785644525,-65.7092,-72.16216
6533,3.8510494114501945,1.400302855371093,-67.45663,-75.16341
6729,4.3485555906860345,1.594480520898438,-69.35259,-78.52393
6931,5.0260334376586915,1.952443168261718,-70.51496,-81.18125
7140,5.886537521032714,2.4278545837036134,-72.47896,-87.94371
7354,6.6774844630981445,2.226209656896973,-70.294426,-81.404755
7575,7.0566816116333015,1.98205754116211,-70.71767,-86.13896
7802,7.717001915905762,1.3704891398925785,-70.40602,-91.93768
8036,7.570414494335937,1.563744504101562,-70.301025,-94.98912
8277,7.84278961184082,1.6034898628662102,-71.347984,-97.6966
8526,8.56223966409912,0.4916801836181648,-71.32495,-99.02997
8782,8.939017339953613,-0.8532772194091791,-72.075035,-99.60961
9045,9.069102264868164,-1.4736519176269525,-72.78355,-99.84602
9317,9.059795397741699,-2.657413456933593,-72.20872,-99.939766
9596,8.245917294824219,-4.3519153710937495,-72.72004,-99.97651
9884,7.460789650622559,-4.248218517333985,-73.63553,-95.84041
10181,6.5381698410644535,-5.393714921777345,-74.360405,-98.13855
10486,5.613441476855469,-4.583049744848633,-74.89343,-96.93343
10801,4.212533994311524,-3.185821494726561,-75.4704,-98.67545
11125,2.95645617352295,-2.7226391292968763,-77.117676,-99.46039
11459,0.37121011130371073,-3.458936660522461,-79.651764,-99.78606
11802,-2.9646014730712906,-5.036649717700197,-83.01587,-99.91614
12156,-3.7051143760498064,-5.984794647778319,-87.53789,-99.96727
12521,-3.2419510285888684,-5.852336932519531,-92.9776,-99.98725
12897,-2.8321247387451187,-5.9220848344970705,-96.57012,-99.99504
13283,-2.7388992210205068,-5.618787777001952,-98.50081,-99.99808
13682,-3.2590121780517585,-5.39196011291504,-99.38559,-99.999245
14092,-4.2926387743652334,-5.92603873388672,-99.75575,-99.9997
14515,-4.378379803076172,-6.157661388232423,-99.90416,-99.999886
14950,-5.77574157902832,-6.991561877783202,-99.96258,-99.999954
15398,-8.726051291674803,-8.127548203076174,-99.98542,-99.999985
15860,-11.284389473583985,-10.91655345229492,-99.99432,-99.99999
16336,-13.642267263378905,-13.113594026611327,-99.99779,-100.0
16826,-15.575941046533202,-11.42457201850586,-99.999146,-100.0
17330,-15.794906638574219,-12.246843305639647,-99.999664,-100.0
17850,-14.214292544824218,-15.098817804345703,-99.99986,-100.0
18385,-13.25954813989258,-17.677698102978518,-99.999954,-100.0
18936,-14.851644491015627,-19.85822104326172,-99.999985,-100.0
19504,-15.8262787359375,-20.721397341796873,-99.99999,-100.0
20089,-16.583000174121096,-21.760173870361328,-100.0,-100.0
20691,-18.82026483598633,-24.673215818750002,-100.0,-100.0
21312,-21.682123139794925,-27.427469180908204,-100.0,-100.0
21951,-24.861169809375,-33.90680318115234,-100.0,-100.0
22609,-24.49697155859375,-33.02746588647461,-100.0,-100.0
23286,-23.809373863525394,-35.83886142993164,-100.0,-100.0
23999,-35.60193816967774,-50.80016944360352,-100.0,-100.0
