Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (dB),Channel 2 THD (IEEE) (dB)
111,-6.7388961499999995,-7.37794014,-100.0,-100.0
115,-6.853893365,-7.30765346,-100.0,-100.0
118,-7.020106304,-7.41852095,-62.642483,-61.805344
122,-7.22527146,-7.5308628,-56.18975,-55.890945
127,-7.48485015,-7.72766498,-61.52264,-60.781673
131,-7.715814587000001,-7.96424716,-69.56094,-68.83303
135,-7.79283713,-7.98870805,-77.35962,-76.66324
140,-7.89080414075,-8.11609799,-84.60674,-83.98012
144,-7.9417077875,-8.23421135,-90.75146,-90.253136
149,-7.964703523,-8.32579557,-95.19241,-94.86588
154,-8.083766292,-8.4702101,-97.80404,-97.630905
159,-8.107066454,-8.56792575,-99.07854,-99.00011
164,-8.13291899,-8.68110875,-99.62978,-99.597176
169,-8.16602538,-8.795167626,-99.85408,-99.84104
175,-8.157908406,-8.854099802,-99.94293,-99.93781
181,-8.198584645,-8.930146472,-99.97775,-99.975746
187,-8.222890504,-8.965384993,-99.99134,-99.990555
193,-8.23853803,-8.916806251499999,-99.99663,-99.99633
199,-8.26614913,-8.790492591400001,-99.99869,-99.998566
205,-8.421669960000001,-8.4782704276,-99.9995,-99.99945
212,-8.80555338,-7.777992064,-99.9998,-99.99978
219,-9.30681395,-7.21998783,-99.99992,-99.999916
225,-9.21489689,-7.2473888,-99.99997,-99.99997
233,-8.537412730000002,-7.855081577,-99.99999,-99.99999
240,-8.41263348,-7.843341837,-100.0,-99.99999
248,-8.72875848,-7.266427153,-100.0,-100.0
256,-8.0081197,-6.675504797,-100.0,-100.0
264,-6.5505285099999995,-6.1154318960000005,-100.0,-100.0
272,-5.45287702,-5.55269044,-100.0,-100.0
281,-4.72380814,-5.04788015,-100.0,-100.0
289,-4.02692989,-4.480672925,-100.0,-100.0
299,-3.2741288600000003,-3.8103685499999997,-100.0,-100.0
308,-2.58434673,-3.1929130900000002,-100.0,-100.0
318,-1.9030990600000002,-2.57250782,-100.0,-100.0
328,-1.11898327,-1.82756332,-100.0,-100.0
338,-0.36561299,-1.1085634,-100.0,-100.0
348,0.27024459,-0.494668954,-100.0,-100.0
359,1.04939843,0.23187065,-100.0,-100.0
370,1.8214788599999998,0.979502676,-100.0,-100.0
382,2.47435759,1.612033816,-100.0,-100.0
394,3.0542927,2.159375164,-100.0,-100.0
406,3.72076612,2.7820434260000004,-100.0,-100.0
419,4.3560791,3.4098987899999997,-100.0,-100.0
432,4.7910470499999995,3.8489227799999997,-100.0,-100.0
445,5.3178806100000005,4.371794894,-100.0,-100.0
459,5.72661021,4.770850370000001,-100.0,-100.0
473,6.049616800000001,5.07330599,-100.0,-100.0
488,6.30437952,5.289204786,-100.0,-100.0
503,6.44295134,5.38268643,-100.0,-100.0
518,6.56375692,5.44606573,-100.0,-100.0
534,6.51481053,5.36775775,-100.0,-100.0
550,6.37117382,5.210828589999999,-100.0,-100.0
567,6.1290770299999995,4.993007599999999,-100.0,-100.0
585,5.74209597,4.724268864,-100.0,-100.0
603,5.423913929999999,4.64173698,-100.0,-100.0
621,5.2991589,4.642891885,-100.0,-100.0
640,5.375549520000001,4.64400486,-100.0,-100.0
660,5.17619325,4.36227046,-100.0,-100.0
680,4.844250649999999,3.9740789359999997,-100.0,-100.0
701,4.47062397,3.5577946099999997,-100.0,-100.0
722,4.22184352,3.171661334,-100.0,-100.0
744,4.07597945,3.01053612,-100.0,-100.0
767,3.8199937999999998,2.98789791,-100.0,-100.0
791,3.45163159,2.764774296,-100.0,-100.0
815,3.02013783,2.35141757,-100.0,-100.0
840,2.6219272200000003,1.849497844,-100.0,-100.0
865,2.29949572,1.31536384,-100.0,-100.0
891,2.02934739,0.787838944,-100.0,-100.0
919,1.79650782,0.358223912,-100.0,-100.0
947,1.5388355599999999,0.14234542349999998,-100.0,-100.0
975,1.21517844,0.0828542726,-100.0,-100.0
1005,0.70393562,0.0,-100.0,-100.0
1036,0.06203652,-0.10376357900000001,-100.0,-100.0
1067,-0.14792633,-0.34450530500000004,-100.0,-100.0
1099,-0.549480436,-0.641742707,-100.0,-100.0
1133,-1.044379226,-0.95658397,-100.0,-100.0
1167,-1.46366883,-1.2623710559999999,-100.0,-100.0
1203,-1.88950538,-1.6314906740000001,-100.0,-100.0
1239,-2.2930202299999998,-1.9597340199999997,-100.0,-100.0
1277,-2.74316783,-2.28087047,-100.0,-100.0
1315,-3.155906613,-2.57312578,-100.0,-100.0
1355,-3.583399778,-2.89844604,-100.0,-100.0
1396,-4.034009948,-3.31148328,-100.0,-100.0
1438,-4.608521463000001,-3.59043405,-100.0,-100.0
1482,-5.301624442,-3.42858121,-100.0,-100.0
1527,-5.5814580970000005,-3.6412858700000004,-100.0,-100.0
1573,-5.839113197,-3.9814149700000003,-100.0,-100.0
1621,-6.262978565,-4.4593727,-100.0,-100.0
1670,-6.629808634000001,-4.871151,-100.0,-100.0
1720,-6.9899455999999995,-5.25716877,-100.0,-100.0
1772,-7.0250521599999995,-5.65091614,-100.0,-100.0
1825,-7.2303390499999995,-6.00639706,-100.0,-100.0
1881,-7.26897244,-6.44852438,-100.0,-100.0
1937,-7.092809669999999,-6.957330799999999,-100.0,-100.0
1996,-7.10000787,-7.25564373,-100.0,-100.0
2056,-7.56949815,-7.42221642,-100.0,-100.0
2118,-8.038743610000001,-7.5311241,-100.0,-100.0
2182,-8.27933614,-7.628699259999999,-100.0,-100.0
2248,-8.46599988,-7.5805073599999995,-100.0,-100.0
2316,-8.5955887,-7.50656124,-100.0,-100.0
2385,-8.64968112,-7.3470955,-100.0,-100.0
2457,-8.75276456,-7.14869784,-100.0,-100.0
2531,-8.80664265,-6.8947028999999995,-100.0,-100.0
2608,-8.80984906,-6.7196522199999995,-81.52544,-100.0
2686,-8.773840949999999,-6.613682969999999,-88.23454,-100.0
2767,-8.6440944,-6.54349514,-90.21307,-100.0
2850,-8.43609422,-6.12989255,-88.10312,-100.0
2936,-7.568549679999999,-4.5602511,-85.256546,-100.0
3025,-6.15513787,-3.8045480499999997,-85.585365,-100.0
3116,-6.0942936,-4.0473384999999995,-91.51457,-100.0
3210,-5.95268345,-4.1928263,-95.67979,-100.0
3306,-5.463871800000001,-4.15002155,-78.97254,-85.46338
3406,-5.0842762399999994,-3.8698463,-72.01082,-77.19512
3508,-4.80288517,-3.4759730999999996,-69.18231,-74.54326
3614,-4.51073364,-2.802474,-67.535515,-73.2896
3722,-4.07346443,-1.9982004000000002,-64.01314,-69.09631
3834,-3.4501009,-1.03590104,-62.38124,-67.51396
3950,-3.09719084,-0.2966766500000001,-60.814224,-66.313354
4068,-2.8723536000000003,0.17233564999999995,-59.57459,-65.6957
4191,-2.9236001999999996,0.22511766,-58.472664,-64.89661
4317,-3.1028241,-0.15600676000000002,-58.53659,-65.27819
4446,-3.2922763400000004,-0.8987236,-58.76722,-65.97477
4580,-3.36817555,-1.5551033999999997,-58.581375,-65.49742
4718,-3.20184215,-1.7259378,-55.80019,-60.69981
4860,-2.0650063000000003,-0.61887547,-53.10592,-57.058582
5006,-0.1992779,1.3132934299999999,-49.896828,-53.10905
5156,1.2774829699999999,2.6568546,-50.08076,-52.919876
5311,2.06122684,2.01522354,-49.750217,-52.284683
5470,1.66010189,0.6924715000000001,-49.63668,-52.12329
5635,1.5191297,-0.4115876999999999,-50.44133,-52.93795
5804,1.6318074,-0.8897915000000001,-50.608826,-52.893253
5978,1.0131416400000002,-1.2715817,-50.717587,-53.26613
6158,0.03813750000000016,-2.3273354,-51.651245,-54.16893
6343,-0.8195687,-2.7460975999999997,-52.06967,-55.01594
6533,-1.6875534,-3.2804985,-52.943874,-55.911694
6729,-3.0204563,-4.7090969000000005,-54.07169,-56.70466
6931,-3.2757883000000003,-5.3225793,-55.465855,-58.07482
7140,-3.9650431000000004,-6.6761634,-57.037643,-59.422035
7354,-4.0709582,-6.284337000000001,-58.34887,-60.768723
7575,-4.5620632,-6.2347964000000005,-59.79255,-62.45457
7802,-4.8590336,-6.871706,-61.315857,-64.05432
8036,-5.2603273999999995,-7.9948052,-62.826286,-65.7492
8277,-5.8347807,-8.673106200000001,-64.543945,-67.32918
8526,-7.0687636,-9.0460359,-66.0781,-69.148865
8782,-5.8063543,-7.534631700000001,-67.794655,-70.99517
9045,-4.594956600000001,-6.1552811,-69.72442,-73.293625
9317,-3.1243676000000002,-4.5629291,-70.18747,-74.69519
9596,-1.7134334,-3.1013355,-71.107735,-76.42306
9884,-0.8696461000000002,-2.4319686999999997,-71.594955,-78.02435
10181,-0.6596812999999999,-2.3817366,-71.52976,-80.18619
10486,0.19109350000000003,-1.9841309000000003,-71.62094,-83.028885
10801,0.025753099999999973,-2.9992561,-71.91299,-88.13412
11125,1.6494655500000002,-2.5099736,-72.80638,-93.40745
11459,2.3883667,-1.5300445,-74.13094,-96.82045
11802,1.4200821399999999,-2.1828231999999996,-75.619064,-98.62154
12156,-0.733841,-4.2292538,-78.1281,-99.4374
12521,0.9083976300000001,-3.4800186,-80.68913,-99.77676
12897,-5.8553143,-7.617189100000001,-83.313286,-99.91245
13283,-7.762317799999999,-11.2247961,-86.015205,-99.96583
13682,-6.9965748,-10.0344635,-88.81468,-99.98669
14092,-7.519907300000001,-11.4161435,-91.9635,-99.99482
14515,-12.3781819,-13.2797512,-95.959206,-99.997986
14950,-16.4782542,-17.9784239,-98.19858,-99.99922
15398,-14.520891700000002,-17.9746593,-99.25409,-99.999695
15860,-15.4855278,-16.156505099999997,-99.70213,-99.999886
16336,-15.4319523,-15.548603499999999,-99.88289,-99.999954
16826,-15.329675599999998,-16.6573758,-99.95424,-99.999985
17330,-12.5586016,-14.7941694,-99.98216,-99.99999
17850,-15.4997921,-17.2484371,-99.99306,-100.0
18385,-20.139584,-22.828554299999997,-99.9973,-100.0
18936,-22.8818987,-26.418062199999998,-99.99895,-100.0
19504,-22.0057599,-27.558002000000002,-99.99959,-100.0
20089,-22.6391292,-25.473938,-99.99984,-100.0
20691,-29.783861200000004,-22.6678791,-99.99993,-100.0
21312,-33.7862531,-23.500311,-99.99997,-100.0
21951,-29.395302700000002,-27.343467999999998,-99.99999,-100.0
22609,-26.71933,-27.446970999999998,-100.0,-100.0
23286,-25.90615,-27.240381999999997,-100.0,-100.0
23999,-25.204114999999998,-45.930676,-100.0,-100.0
