Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (%),Channel 2 THD (IEEE) (%)
84,-4.21710324996338,-5.188289385461427,0.23477943,0.33073097
87,-4.439852476877441,-5.423196550915527,0.17295897,0.00055944547
90,-4.399054290056153,-5.55048394079834,0.2617317,0.06872225
93,-4.46751809088623,-5.817539476501466,0.36793414,0.349669
96,-4.495767834328614,-6.02234721048584,0.38163593,0.4186597
99,-4.528683662321779,-6.291029693864747,0.086633176,0.22588769
102,-4.6543037880200195,-6.398316617155761,0.216481,0.393839
106,-4.933356036828613,-6.535521282507325,0.41657743,0.50831115
109,-5.075815928894045,-6.503155474113768,0.33742005,0.36965156
113,-5.30406857322998,-6.618711948820799,0.4960681,0.594022
117,-5.470154283596191,-6.7152543174926755,0.35021365,0.34097812
121,-5.621319537536621,-6.912706139123536,0.42457125,0.34086367
125,-5.746691223464357,-7.11400556218506,0.44485986,0.41559422
129,-5.839529275187989,-7.263693571057129,0.3389648,0.4387488
133,-5.9316947413745105,-7.448530905749511,0.46852362,0.5271344
137,-6.079194784138185,-7.4924519106225596,0.34211227,0.38448954
142,-6.22473835921631,-7.52812552672119,0.34930488,0.45070046
146,-6.372630118879396,-7.665608403601073,0.28369963,0.30074885
151,-6.477668044860838,-7.799788716525878,0.4027164,0.35896403
156,-6.5494716169995115,-7.886247400134277,0.23349957,0.25424674
161,-6.617721797419435,-7.986219646086425,0.39430138,0.4518635
166,-6.726848602138183,-8.073770047438966,0.3791257,0.56266874
172,-6.827920674888183,-8.155463934059082,0.3259288,0.32306394
177,-6.8876302242682605,-8.200999498231933,0.3078141,0.37475055
183,-6.924435853914357,-8.221824407595214,0.41430408,0.48068875
189,-7.005724669123534,-8.383698224747558,0.48403004,1.1008878
195,-7.102871418313963,-8.107498169065916,0.32669035,0.38446626
201,-7.41239524026123,-7.90023779833545,0.21624441,0.2288058
208,-8.15385055515869,-7.434243202216699,0.38556334,0.37121913
214,-8.845229626042482,-7.108236312854981,0.37122056,0.36933306
221,-8.457495450599122,-7.383593797858886,0.2457519,0.27663043
228,-7.350376365285644,-8.180923700104003,0.107125856,0.15598078
235,-6.733483318010254,-8.38477706987549,0.36562246,0.31100768
242,-6.454636096857911,-7.802763462087402,0.32839718,0.34788322
250,-6.101956842512205,-7.066068172626466,0.20533302,0.26521772
258,-5.378927707111817,-6.55924272527588,0.30808544,0.3495836
266,-4.586476564763185,-6.042922258378418,0.18310504,0.23646832
274,-3.916567087282715,-5.514486552912597,0.124157175,0.17734715
283,-3.322467567712401,-5.008706331222168,0.18863404,0.19263983
292,-2.734769583200684,-4.4705140589047865,0.15884902,0.15943229
301,-2.111647367633301,-3.885647057839357,0.17407976,0.20656168
310,-1.5891394613588865,-3.376308917790528,0.09587228,0.120272264
320,-0.9994857307373053,-2.8338000780444332,0.11712091,0.14361484
330,-0.31215929874511694,-2.1374022996923827,0.13573045,0.14041266
340,0.10569310144042987,-1.6879432212500003,0.11628419,0.11804613
351,0.7621161968041985,-1.0590007304555655,0.10254561,0.07567518
362,1.3262774941684565,-0.48282504370361323,0.09492723,0.053556494
373,1.9300916194692377,0.10087943151855505,0.11570392,0.101572335
385,2.3810784805102543,0.5647437607226564,0.10183074,0.07671853
396,2.7560527298999027,0.8948018549985353,0.11439514,0.07221275
409,3.3498771186840823,1.499886751748047,0.07969136,0.051729027
421,3.6325075599682624,1.790537596872559,0.08240742,0.039650228
434,4.086606744846192,2.211750269753418,0.14521714,0.06420771
448,4.542219873100587,2.659179923540039,0.1255421,0.067036524
461,4.86739611357666,2.9656217123608393,0.11838966,0.047405813
476,5.135331866677246,3.1905305350219724,0.15276955,0.04954983
490,5.459425215197754,3.4813048869775383,0.10961222,0.04029058
505,5.693462846896972,3.661609169567871,0.14211269,0.046637412
521,5.754316092568359,3.701689481955567,0.096812814,0.020874348
537,5.670081374550781,3.646778342036132,0.10112176,0.023449894
553,5.505075456003418,3.5808553727294914,0.120564446,0.026662368
570,5.150021310959472,3.4700953936621097,0.14006375,0.03370179
588,4.821614026931153,3.4380962844809577,0.11334092,0.04068807
606,4.8338501442797845,3.4795033956567387,0.11513057,0.04963041
624,4.785523655908204,3.2627599231518563,0.11183409,0.058055483
643,4.569501161407715,2.8422911167983393,0.103652604,0.08804505
663,4.31084990782959,2.215359449216308,0.22802767,0.23151809
683,4.276367664432129,1.9644055401147469,0.13464484,0.24833249
704,4.319139239138183,2.3002569672783206,0.07050629,0.20662346
726,4.2430424693042,2.698153018994141,0.056791596,0.055932462
748,3.997502563864746,2.7882177828247077,0.09516648,0.038083114
770,3.690979240202637,2.6033394339741207,0.111237064,0.044552997
794,3.242894890410156,2.1122972962622075,0.10660002,0.04166335
818,2.8379578570483392,1.6808099746308596,0.091741756,0.03726562
843,2.553694248994141,1.3480882648198236,0.060502626,0.0344604
869,2.350271463620606,1.005386591131348,0.10637297,0.055385932
895,2.1062598232270506,0.5371861452368165,0.09122053,0.041950542
922,1.8655045033041997,0.2880151271206053,0.112857066,0.048544016
950,1.555382013256347,0.11248087912500004,0.11030676,0.05948139
979,1.1801559943164062,-0.0013058185878911388,0.13216983,0.063786045
1009,0.6617708209975586,0.0,0.11588563,0.055319484
1039,0.3543980125302735,-0.047524690591405516,0.09909193,0.06435954
1071,0.13859987287988318,-0.3903226855273445,0.08995302,0.04881949
1103,-0.3100373743002933,-0.6550405020864254,0.102383554,0.06305003
1137,-0.7292604446425788,-0.950524330106445,0.1051501,0.068606965
1171,-1.130300283020997,-1.2159507277211912,0.06102231,0.043838657
1207,-1.5043461326376946,-1.576475381984375,0.054012764,0.042646784
1243,-1.8715527062231452,-1.9685351848579096,0.0986668,0.07536959
1281,-2.2725050445444346,-2.446594477004396,0.078034855,0.061619177
1319,-2.6345624935815444,-2.7912526098364268,0.11832803,0.069692954
1359,-3.091646671774903,-3.0512790678247086,0.04497752,0.034513347
1400,-3.642395499987792,-3.27346658730713,0.061710063,0.041649416
1443,-4.150947092043456,-3.691468713234862,0.08949754,0.06431414
1486,-4.625698802233888,-4.045982123259279,0.06833959,0.044410937
1531,-4.9769487357543944,-4.436917303898927,0.08742693,0.065747656
1577,-5.200778244733886,-4.884105447976076,0.101382844,0.07155116
1625,-5.54990744777588,-5.436311007102052,0.08794648,0.06594997
1674,-5.8605513536157225,-5.912206654211424,0.06710251,0.04812346
1725,-6.02193855907959,-6.375427003225099,0.07275631,0.057992525
1777,-6.036436079709471,-6.849276541657716,0.074029446,0.050279085
1830,-6.2637999106420885,-7.334568266081543,0.06702022,0.04840887
1886,-6.181383365270996,-7.9986374355151355,0.026529286,0.0325288
1942,-5.846035243254395,-8.656801458737792,0.05070488,0.025442097
2001,-5.90703940509033,-8.928439382770996,0.05168782,0.032461707
2061,-6.4155859947583025,-9.11138440201416,0.03447626,0.032070488
2124,-6.889540434963379,-9.368781805388185,0.050166506,0.04956532
2188,-7.173782121276854,-9.634983296833497,0.06293624,0.05800426
2253,-7.427559142175294,-9.709594968151855,0.072524495,0.06680349
2321,-7.585467339699708,-9.639657493913575,0.101808146,0.09008862
2391,-7.68081139515381,-9.560751913249511,0.11796309,0.098217666
2463,-7.719181787780762,-9.434227233024902,0.13899715,0.10227451
2537,-7.80325675074463,-9.402642962580565,0.09302046,0.07553337
2614,-7.8631050575512695,-9.441989175744627,0.15803692,0.10193667
2692,-7.8737695123657225,-9.61715483970459,0.13667499,0.076297596
2774,-7.767622707131348,-9.845804923498534,0.13385236,0.10854393
2857,-7.4624330997241195,-9.925070999196777,0.11428371,0.08043219
2943,-6.397444502722166,-8.703947804138185,0.11574086,0.11801527
3032,-5.600265253576659,-8.672617671945801,0.0920308,0.13194092
3123,-5.647389172360839,-8.896734979138184,0.06752664,0.09245402
3217,-5.450964197204591,-8.7088582493042,0.14833061,0.21420208
3313,-4.9760987794458025,-8.372236510827637,0.12625575,0.21376365
3413,-4.75726246369873,-7.969072553894044,0.1292123,0.26312718
3516,-4.3909661635620125,-7.407048913342287,0.1523629,0.33592993
3621,-3.829160424890137,-6.769845718078614,0.07282006,0.17028446
3730,-3.062553167668458,-6.052549125246582,0.124939695,0.27922004
3842,-2.269257304890136,-5.400396106262207,0.11856802,0.20365074
3958,-1.6899063338500984,-4.926421426159667,0.18258823,0.20523569
4077,-1.1748511748901365,-4.57115436258545,0.15291862,0.120854296
4199,-0.928067902307129,-4.379229792126466,0.16590753,0.14418511
4326,-0.8721406435058601,-4.4308889155639655,0.19613917,0.1691181
4456,-0.9858982522338859,-4.674035312717287,0.18550134,0.18780315
4589,-1.1034944098779302,-4.95105955946045,0.25743854,0.3554829
4727,-0.7222387836303703,-4.5751550181469725,0.24789467,0.3956866
4869,0.8867752527978521,-2.7120177454467758,0.2623345,0.52695996
5016,2.295541998652343,-0.6280133912109367,0.29251155,0.84080714
5166,3.1276452528686516,0.10951398951415925,0.15320748,0.20955051
5321,3.0802719595581056,-0.34265492813720755,0.15061973,0.37468418
5481,2.4527523027343747,-0.6185299949096681,0.16524716,0.26711455
5646,2.2315561737182623,-1.230409385437012,0.035691895,0.08222912
5815,2.0691902630737307,-0.9418389877685556,0.22325516,0.1930506
5990,0.9665878150146483,-1.3568703650024414,0.14120345,0.14900216
6170,-0.33230951141357323,-2.037562093029784,0.20771785,0.09719385
6355,-1.6530725693969721,-2.4869673440063487,0.16511846,0.124697305
6546,-3.849966742785643,-3.6885859489624018,0.09639094,0.12909937
6742,-5.285433579748535,-3.874631646740724,0.07488389,0.050437607
6945,-7.537567418859865,-4.832801098181154,0.039534863,0.07512935
7153,-8.406531104406739,-5.015439728381349,0.024638396,0.032287896
7368,-8.991830572302245,-4.694143095593262,0.029481037,0.005753706
7589,-9.281790448913576,-5.06976626258545,0.0123342415,0.035202827
7816,-9.564201557043457,-6.058256910681152,0.007267577,0.009627694
8051,-9.368062216076659,-6.7014324781127925,0.0006751756,0.022930276
8293,-10.46268728741455,-7.738445016296385,0.014138439,0.015126591
8541,-11.661505415441894,-9.425345160192872,0.016409205,0.0100288205
8798,-9.154618055261231,-9.804570918933106,0.008960006,0.018329436
9062,-7.726552200305175,-10.005274025231934,0.0121675925,0.023597969
9334,-6.169484880285644,-9.688216005163575,0.04354752,0.03787715
9614,-4.939769064660645,-8.359642304577637,0.028193893,0.01655261
9902,-5.071789945349121,-9.007549532092284,0.026436586,0.011572373
10199,-5.240749547839357,-9.65470622027588,0.039195374,0.0025986184
10505,-5.475334910095214,-9.514462272448732,0.024740526,0.00550171
10820,-5.985055717224121,-9.575291859118654,0.023303032,0.0040194876
11145,-5.46934345296631,-7.690298285876466,0.021951219,0.0033641728
11479,-6.574440225109864,-8.85068443741455,0.0022304903,0.007486534
11823,-8.851506918688965,-9.95094559847412,0.0052996967,0.0012281374
12178,-8.032681732580567,-7.016290483947753,0.0052996967,0.0012281374
12543,-10.180256582434083,-7.198682589172364,0.0052996967,0.0012281374
12919,-15.854322177185058,-13.58012695928955,0.0052996967,0.0012281374
13307,-15.874929165856933,-11.10676269041748,0.0052996967,0.0012281374
13706,-18.87946967127686,-9.973099985119628,0.0052996967,0.0012281374
14117,-22.658059857800296,-9.345087735803222,0.0052996967,0.0012281374
14540,-23.967945333239747,-15.723462345935058,0.0052996967,0.0012281374
14976,-20.49912136859131,-13.612553339440918,0.0052996967,0.0012281374
15425,-16.96975587640381,-12.396801663391113,0.0052996967,0.0012281374
15887,-15.862949141442872,-12.588904584020995,0.0052996967,0.0012281374
16364,-15.64685514415283,-14.739057741711427,0.0052996967,0.0012281374
16855,-16.027083629089354,-14.57404017894287,0.0052996967,0.0012281374
17360,-17.26855351883545,-13.375953456579591,0.0052996967,0.0012281374
17880,-20.332311398083498,-17.424094453015137,0.0052996967,0.0012281374
18416,-23.1892945645874,-21.630956383483884,0.0052996967,0.0012281374
18969,-26.08296847191162,-29.31332607459717,0.0052996967,0.0012281374
19537,-29.018650817370606,-32.38491985848388,0.0052996967,0.0012281374
20123,-31.68146295526123,-25.98324753758545,0.0052996967,0.0012281374
20726,-24.794615478112796,-25.526732234118654,0.0052996967,0.0012281374
21348,-27.199393355407715,-24.158444412487796,0.0052996967,0.0012281374
22000,-31.731491039245604,-29.960475000427245,0.0052996967,0.0012281374
